FID,DATASET,DATA_TEAM,RECORD_ID,REFERENCE,TYPE_REF,DATA_TYPE,DATA_AIM,SITE_NAME_CODE,AREA_HA,MUNICIPALITY,STATE,COUNTRY,LAT_Y_PUNT,LONG_X_PUN,ID_Camera,PRECISION,DATUM,ORDER,FAMILY,GENUS,SPECIES,IUCN_STATUS,COL_START_DAY,COL_START_MO,COL_START_YR,COL_END_DAY,COL_END_MO,COL_END_YR,METHOD,CAM_TYPE,BAIT,OCCUR,N_RECORDS,EST_ABUN,EST_ABUN_METHOD,LIFE_STAGE,EFFORT_CAM,IND_CAM,MIN_DIST_C,MAX_DIST_C,NAME_AP,DESIG,DESIG_TYPE,IUCN_CAT_AP,STATUS_YR,Cover_Nivel_1,Cover_Nivel_2,Cover_Nivel_3,OBSERVATIONS
1,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R1,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391961,-73.195496,UNAL_M1-1,NA,WGS84,Cingulata,Chlamyphoridae,Cabassous,Cabassous centralis,DD,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,2,1.5625,RAI,NA,128,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
2,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R2,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391961,-73.195496,UNAL_M1-1,NA,WGS84,Carnivora,Canidae,Cerdocyon,Cerdocyon thous,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,16,12.5,RAI,NA,128,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
3,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R3,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391961,-73.195496,UNAL_M1-1,NA,WGS84,Carnivora,Mephitidae,Conepatus,Conepatus semistriatus,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,2,1.5625,RAI,NA,128,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
4,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R4,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391961,-73.195496,UNAL_M1-1,NA,WGS84,Cingulata,Dasypodidae,Dasypus,Dasypus novemcinctus,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,1,0.78125,RAI,NA,128,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
5,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R5,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391961,-73.195496,UNAL_M1-1,NA,WGS84,Didelphimorphia,Didelphidae,Didelphis,Didelphis marsupialis,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,7,5.46875,RAI,NA,128,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
6,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R6,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391961,-73.195496,UNAL_M1-1,NA,WGS84,Carnivora,Felidae,Leopardus,Leopardus pardalis,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,2,1.5625,RAI,NA,128,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
7,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R8,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391961,-73.195496,UNAL_M1-1,NA,WGS84,Pilosa,Myrmecophagidae,Myrmecophaga,Myrmecophaga tridactyla,VU,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,4,3.125,RAI,NA,128,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
8,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R9,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391961,-73.195496,UNAL_M1-1,NA,WGS84,Carnivora,Procyonidae,Procyon,Procyon cancrivorus,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,4,3.125,RAI,NA,128,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
9,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R10,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391961,-73.195496,UNAL_M1-1,NA,WGS84,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,10,7.8125,RAI,NA,128,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
10,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R11,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391961,-73.195496,UNAL_M1-1,NA,WGS84,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus sp,NE,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,11,8.59375,RAI,NA,128,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
11,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R12,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391961,-73.195496,UNAL_M1-1,NA,WGS84,Pilosa,Myrmecophagidae,Tamandua,Tamandua mexicana,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,2,1.5625,RAI,NA,128,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
12,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R13,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.393041,-73.195003,UNAL_M1-2,NA,WGS84,Carnivora,Canidae,Cerdocyon,Cerdocyon thous,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,9,14.754098,RAI,NA,61,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
13,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R14,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.393041,-73.195003,UNAL_M1-2,NA,WGS84,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,2,3.278689,RAI,NA,61,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
14,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R15,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.393041,-73.195003,UNAL_M1-2,NA,WGS84,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus sp,NE,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,2,3.278689,RAI,NA,61,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
15,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R16,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.387222,-73.198692,UNAL_M1-3,NA,WGS84,Cingulata,Chlamyphoridae,Cabassous,Cabassous centralis,DD,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,1,1.098901,RAI,NA,91,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
16,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R17,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.387222,-73.198692,UNAL_M1-3,NA,WGS84,Carnivora,Mephitidae,Conepatus,Conepatus semistriatus,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,8,8.791209,RAI,NA,91,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
17,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R18,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.387222,-73.198692,UNAL_M1-3,NA,WGS84,Didelphimorphia,Didelphidae,Didelphis,Didelphis marsupialis,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,3,3.296703,RAI,NA,91,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
18,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R19,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.387222,-73.198692,UNAL_M1-3,NA,WGS84,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,9,9.89011,RAI,NA,91,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
19,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R21,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.387222,-73.198692,UNAL_M1-3,NA,WGS84,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus sp,NE,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,4,4.395604,RAI,NA,91,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
20,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R22,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.387222,-73.198692,UNAL_M1-3,NA,WGS84,Pilosa,Myrmecophagidae,Tamandua,Tamandua mexicana,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,8,8.791209,RAI,NA,91,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
21,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R23,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.387251,-73.199539,UNAL_M1-4,NA,WGS84,Carnivora,Mephitidae,Conepatus,Conepatus semistriatus,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,1,9.090909,RAI,NA,11,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
22,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R24,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.392117,-73.193977,UNAL_M1-5,NA,WGS84,Carnivora,Canidae,Cerdocyon,Cerdocyon thous,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,5,13.513514,RAI,NA,37,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
23,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R25,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.392117,-73.193977,UNAL_M1-5,NA,WGS84,Carnivora,Mephitidae,Conepatus,Conepatus semistriatus,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,1,2.702703,RAI,NA,37,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
24,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R26,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.392117,-73.193977,UNAL_M1-5,NA,WGS84,Carnivora,Felidae,Leopardus,Leopardus pardalis,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,3,8.108108,RAI,NA,37,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
25,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R27,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.392117,-73.193977,UNAL_M1-5,NA,WGS84,Pilosa,Myrmecophagidae,Myrmecophaga,Myrmecophaga tridactyla,VU,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,2,5.405405,RAI,NA,37,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
26,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R28,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.392117,-73.193977,UNAL_M1-5,NA,WGS84,Carnivora,Procyonidae,Procyon,Procyon cancrivorus,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,13,35.135135,RAI,NA,37,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
27,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R29,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.392117,-73.193977,UNAL_M1-5,NA,WGS84,Carnivora,Felidae,Herpailurus,Herpailurus yagouaroundi,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,5,13.513514,RAI,NA,37,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
28,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R31,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.392117,-73.193977,UNAL_M1-5,NA,WGS84,Lagomorpha,Leporidae,Sylvilagus,Sylvilagus sp,NE,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,1,2.702703,RAI,NA,37,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
29,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R32,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.392117,-73.193977,UNAL_M1-5,NA,WGS84,Pilosa,Myrmecophagidae,Tamandua,Tamandua mexicana,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,1,2.702703,RAI,NA,37,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
30,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R33,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391884,-73.194915,UNAL_M1-7,NA,WGS84,Carnivora,Canidae,Cerdocyon,Cerdocyon thous,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,19,12.582781,RAI,NA,151,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
31,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R34,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391884,-73.194915,UNAL_M1-7,NA,WGS84,Cingulata,Dasypodidae,Dasypus,Dasypus novemcinctus,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,3,1.986755,RAI,NA,151,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
32,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R35,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391884,-73.194915,UNAL_M1-7,NA,WGS84,Didelphimorphia,Didelphidae,Didelphis,Didelphis marsupialis,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,2,1.324503,RAI,NA,151,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
33,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R36,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391884,-73.194915,UNAL_M1-7,NA,WGS84,Carnivora,Felidae,Leopardus,Leopardus pardalis,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,3,1.986755,RAI,NA,151,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
34,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R38,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391884,-73.194915,UNAL_M1-7,NA,WGS84,Pilosa,Myrmecophagidae,Myrmecophaga,Myrmecophaga tridactyla,VU,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,5,3.311258,RAI,NA,151,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
35,"Acevedo-Quintero, JF.","Acevedo-Quintero, JF.; Zamora-Abrego, JG.",R39,"Acevedo-Quintero, J. F., & Zamora-Abrego, J. G. (2021). Inventario de mamíferos asociados al campus universitario de la Universidad Nacional de Colombia-Sede de La Paz, Cesar. Mammalogy Notes, 7(2), 298-298.",Article,Abundancia,Primario,Campus Universidad Nacional Sede de La Paz Cesar,52,La Paz,Cesar,Colombia,10.391884,-73.194915,UNAL_M1-7,NA,WGS84,Carnivora,Procyonidae,Procyon,Procyon cancrivorus,LC,10,4,2021,30,8,2021,Camara trampa,Bushnell Trophy HD,NO,1,10,6.622517,RAI,NA,151,1440,NA,NA,NA,NA,NA,NA,NA,2. Agricultural territories,2.3. Pastures,2.3.1. Clean pastures,NA
